task_id	hash	name	process	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rss	vmem	rchar	wchar
6	cc/5be849	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process (cellxgene_census/gtex_v9/log_cp10k)	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process	cellxgene_census/gtex_v9/log_cp10k	CACHED	0	1	5.1s	5.6s	89.0%	296.7 MB	1.6 GB	296.7 MB	1.6 GB	216.7 MB	18.9 KB
2	04/fff267	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process (cellxgene_census/tabula_sapiens/log_cp10k)	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process	cellxgene_census/tabula_sapiens/log_cp10k	CACHED	0	1	1.4s	1.9s	302.8%	135 MB	1.4 GB	135 MB	1.4 GB	45 MB	17.7 KB
1	1e/08f8a9	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process (cellxgene_census/immune_cell_atlas/log_cp10k)	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process	cellxgene_census/immune_cell_atlas/log_cp10k	CACHED	0	1	1.4s	1.8s	322.4%	212.8 MB	1.5 GB	212.8 MB	1.5 GB	137.9 MB	18.1 KB
3	a2/dcaf78	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k)	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k	CACHED	0	1	3.7s	23.2s	127.1%	526.9 MB	1.9 GB	526.9 MB	1.9 GB	452 MB	18 KB
5	01/00f06a	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process (cellxgene_census/dkd/log_cp10k)	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process	cellxgene_census/dkd/log_cp10k	CACHED	0	1	4.2s	4.8s	106.7%	434.6 MB	1.7 GB	288.1 MB	1.6 GB	171.9 MB	19.6 KB
4	8a/6ed2b7	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process (cellxgene_census/hypomap/log_cp10k)	auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process	cellxgene_census/hypomap/log_cp10k	CACHED	0	1	1.1s	1.4s	356.7%	192.6 MB	1.5 GB	131.6 MB	1.4 GB	54.9 MB	17.8 KB
9	d1/27caac	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process (cellxgene_census/immune_cell_atlas/log_cp10k.random_labels)	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process	cellxgene_census/immune_cell_atlas/log_cp10k.random_labels	CACHED	0	1	4.9s	5.3s	158.1%	8.9 GB	10.9 GB	8.9 GB	10.9 GB	9.6 GB	166.8 KB
13	9b/f13956	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process (cellxgene_census/dkd/log_cp10k.random_labels)	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process	cellxgene_census/dkd/log_cp10k.random_labels	CACHED	0	1	2.3s	2.8s	174.6%	1.4 GB	2.7 GB	1.4 GB	2.7 GB	1.3 GB	168.1 KB
17	19/c136e0	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process (cellxgene_census/hypomap/log_cp10k.random_labels)	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process	cellxgene_census/hypomap/log_cp10k.random_labels	CACHED	0	1	1m 42s	1m 42s	11.3%	12.6 GB	13.9 GB	12.6 GB	13.9 GB	12.5 GB	62.7 KB
7	a1/05ce92	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process (cellxgene_census/gtex_v9/log_cp10k.random_labels)	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process	cellxgene_census/gtex_v9/log_cp10k.random_labels	CACHED	0	1	2.2s	2.6s	253.8%	3.1 GB	4.4 GB	3.1 GB	4.4 GB	2.9 GB	328.2 KB
12	08/222c0d	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.naive_bayes)	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.naive_bayes	CACHED	0	1	7.3s	7.8s	195.0%	13.3 GB	15.9 GB	12.7 GB	15.3 GB	13 GB	273.3 KB
37	3c/16926f	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process (cellxgene_census/immune_cell_atlas/log_cp10k.logistic_regression)	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process	cellxgene_census/immune_cell_atlas/log_cp10k.logistic_regression	CACHED	0	1	24.1s	24.5s	1724.1%	10 GB	12.6 GB	10 GB	12.6 GB	9.6 GB	166.8 KB
11	2c/04fe83	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process (cellxgene_census/tabula_sapiens/log_cp10k.random_labels)	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process	cellxgene_census/tabula_sapiens/log_cp10k.random_labels	CACHED	0	1	2m 37s	2m 37s	9.5%	19.2 GB	20.5 GB	19.2 GB	20.5 GB	19 GB	37.3 KB
8	1d/d40dc3	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.random_labels)	auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.random_labels	CACHED	0	1	1m 51s	1m 51s	10.0%	13.2 GB	14.5 GB	13.2 GB	14.5 GB	13 GB	273.6 KB
