dataset,budget,n_input_genes,n_model_genes,accuracy,f1_macro,fit_s,peak_gb
immune_cell_atlas,1000_op,1000,960,0.8574,0.7593,65.2,11.9
immune_cell_atlas,2000,2000,1920,0.8609,0.7364,92.4,8.2
immune_cell_atlas,5000,5000,4802,0.8914,0.8162,158.3,7.4
immune_cell_atlas,all,29335,28171,0.8905,0.7872,871.5,10.2
gtex_v9,1000_op,1000,960,0.8613,0.4095,94.4,6.1
gtex_v9,2000,2000,1920,0.879,0.4125,67.2,4.7
gtex_v9,5000,5000,4802,0.8909,0.4549,119.1,5.8
gtex_v9,all,28094,26980,0.8834,0.4495,507.3,7.9
mouse_pancreas_atlas,1000_op,1000,960,0.9659,0.7695,56.3,13.3
mouse_pancreas_atlas,2000,2000,1920,0.9701,0.7898,78.6,9.9
mouse_pancreas_atlas,5000,5000,4802,0.9744,0.8453,146.8,9.4
mouse_pancreas_atlas,all,24923,23933,0.9728,0.8339,745.5,13.5
dkd,1000_op,1000,960,0.9451,0.93,6.9,3.5
dkd,2000,2000,1920,0.9502,0.9328,8.6,2.8
dkd,5000,5000,4802,0.9488,0.9378,15.5,3.7
hypomap,1000_op,1000,960,0.9982,0.995,69.9,17.9
hypomap,2000,2000,1920,0.9973,0.9915,99.4,16.5
hypomap,5000,5000,4802,0.9964,0.9783,188.5,13.7
tabula_sapiens,1000_op,1000,960,0.4049,0.1468,100.8,23.5
tabula_sapiens,2000,2000,1920,0.2852,0.1485,139.3,18.5
tabula_sapiens,5000,5000,4802,0.3028,0.1354,222.9,21.7
