method,n,mean_accuracy,mean_f1_macro,acc_dkd,acc_gtex_v9,acc_hypomap,acc_immune_cell_atlas,acc_mouse_pancreas_atlas,acc_tabula_sapiens
mlp,6,0.8434,0.6616,0.9524,0.8499,0.9982,0.8641,0.9734,0.4225
actinn_jax,6,0.8362,0.6627,0.946,0.8585,0.9973,0.8593,0.965,0.3908
linear_anova_pca,6,0.8281,0.6473,0.9498,0.8694,0.9964,0.8326,0.9683,0.3521
svm_sgd,6,0.8157,0.6521,0.9388,0.8446,0.9964,0.8394,0.9652,0.3099
logistic_regression,6,0.8126,0.6894,0.9566,0.8846,0.9964,0.884,0.9777,0.1761
celltypist,6,0.8103,0.6435,0.938,0.8359,0.9964,0.8431,0.9636,0.2852
knn,6,0.7932,0.6483,0.949,0.8523,0.9954,0.8144,0.9756,0.1725
xgboost,6,0.7909,0.6138,0.9595,0.7991,0.9964,0.8083,0.9709,0.2113
cellmapper_linear,6,0.7765,0.5526,0.9543,0.8186,0.9863,0.7866,0.9616,0.1514
naive_bayes,6,0.7381,0.6132,0.9269,0.7599,0.9945,0.6389,0.9502,0.1585
sctop,6,0.5813,0.462,0.8979,0.1236,0.9909,0.4949,0.9386,0.0423
