method,dataset,local_runtime_s,accuracy,f1_macro,n_test,n_classes
actinn_jax,dkd,6.9,0.9460022735884804,0.9316414814723696,5278,13
actinn_jax,gtex_v9,16.4,0.8585331942996176,0.36582736546931516,11508,18
actinn_jax,hypomap,32.2,0.9972627737226277,0.9802188152141883,1096,8
actinn_jax,immune_cell_atlas,182.1,0.8592592592592593,0.7585773125209138,4320,29
actinn_jax,mouse_pancreas_atlas,25.3,0.9650497775894937,0.7827124213376757,9442,13
actinn_jax,tabula_sapiens,42.3,0.3908450704225352,0.1572282743604739,284,21
celltypist,dkd,72.1,0.9380447139067829,0.9092177266350328,5278,13
celltypist,gtex_v9,850.3,0.836548488008342,0.34542474064627715,11508,18
celltypist,hypomap,119.7,0.9963503649635036,0.9799718661416947,1096,8
celltypist,immune_cell_atlas,4040.6,0.8425925925925926,0.6947349124148616,4320,29
celltypist,mouse_pancreas_atlas,2237.7,0.9640965897055709,0.7665119145633462,9442,13
celltypist,tabula_sapiens,1306.6,0.2746478873239437,0.16808473432726656,284,21
linear_anova_pca,dkd,3.1,0.9501705191360363,0.9229852731027692,5278,13
linear_anova_pca,gtex_v9,35.0,0.8696558915537018,0.31720112598572303,11508,18
linear_anova_pca,hypomap,53.6,0.9963503649635036,0.9748280071397992,1096,8
linear_anova_pca,immune_cell_atlas,223.6,0.8344907407407407,0.6893018491235512,4320,29
linear_anova_pca,mouse_pancreas_atlas,19.2,0.9680152510061427,0.8038550768169751,9442,13
linear_anova_pca,tabula_sapiens,1168.7,0.35563380281690143,0.17218098610293056,284,21
sctop,dkd,2.7,0.8978779840848806,0.8708860332397287,5278,13
sctop,gtex_v9,2.8,0.12356621480709072,0.05106939148318549,11508,18
sctop,hypomap,5.0,0.9908759124087592,0.7752688048607478,1096,8
sctop,immune_cell_atlas,3.7,0.4949074074074074,0.34203110000282666,4320,29
sctop,mouse_pancreas_atlas,4.2,0.9385723363694133,0.7282455970268416,9442,13
sctop,tabula_sapiens,3.4,0.04225352112676056,0.004775194353618025,284,21
svm_sgd,dkd,58.5,0.9388025767336112,0.9182991770128677,5278,13
svm_sgd,gtex_v9,451.9,0.8381995133819952,0.3824393921543448,11508,18
svm_sgd,hypomap,993.9,0.9963503649635036,0.9799718661416947,1096,8
svm_sgd,immune_cell_atlas,695.1,0.8386574074074075,0.6831801161096069,4320,29
svm_sgd,mouse_pancreas_atlas,1432.1,0.9652615971192544,0.7642920824893812,9442,13
svm_sgd,tabula_sapiens,6636.6,0.30985915492957744,0.17648191082750533,284,21
