method,metric,dkd,gtex_v9,hypomap,immune_cell_atlas,mouse_pancreas_atlas,tabula_sapiens,mean
actinn-jax,accuracy,0.9471,0.8576,0.9973,0.859,0.9653,0.3944,0.8367833333333334
actinn-jax,f1_macro,0.9362,0.3309,0.9802,0.7342,0.784,0.1709,0.6560666666666667
cellmapper_linear,accuracy,0.9526335733232285,0.8254257907542579,0.9863138686131386,0.794675925925926,0.9663206947680576,0.12323943661971831,0.7747682150007211
cellmapper_linear,f1_macro,0.9328376215078186,0.31566357290794145,0.7094799482261718,0.5227005377461175,0.8160358860319281,0.06651346980830959,0.5605385060380478
cellmapper_scvi,accuracy,,0.7982273201251303,0.9872262773722628,0.8474537037037037,0.9608133869942809,0.17253521126760563,0.7532511798925967
cellmapper_scvi,f1_macro,,0.39963451136856526,0.8344253283443532,0.6222950745713226,0.8290524459136936,0.06249030235400393,0.5495795325103878
knn,accuracy,0.9490337248957939,0.8522766770941953,0.9954379562043796,0.8143518518518519,0.9756407540775259,0.17253521126760563,0.7932126958985588
knn,f1_macro,0.9286406946954762,0.3913468164784988,0.9730372999966023,0.6510399239206479,0.8425846518300987,0.10293878539832818,0.6482646953866087
logistic_regression,accuracy,0.9571807502841986,0.8828640945429267,0.9963503649635036,0.8849537037037037,0.977970768904893,0.18309859154929578,0.8137363789914202
logistic_regression,f1_macro,0.9413147848736259,0.4436628816587907,0.9767191151388158,0.7792529930631322,0.8801350593993841,0.12435565107151428,0.6909067475342106
majority_vote,accuracy,0.2953770367563471,0.07994438651372958,0.4516423357664234,0.005787037037037037,0.32387206100402455,0.02112676056338028,0.196291602940157
majority_vote,f1_macro,0.035080613404439645,0.008225154668669313,0.07778126964173476,0.000396809650410698,0.037636923076923075,0.0019704433497536944,0.026848535631988527
mlp,accuracy,0.9492231906025009,0.8533194299617657,0.9981751824817519,0.8543981481481482,0.9708748146579115,0.3415492957746479,0.8279233436044543
mlp,f1_macro,0.9032622128717337,0.3634905181026444,0.8745324061779758,0.7048087973201128,0.8570321732196208,0.1830960684449815,0.6477036960228448
naive_bayes,accuracy,0.9268662372110648,0.7599061522419187,0.9945255474452555,0.6388888888888888,0.9502224105062487,0.15845070422535212,0.7381433234197882
naive_bayes,f1_macro,0.9180663397063415,0.33628077544201646,0.9625692307050036,0.5209068866398556,0.779368574311228,0.16217745076811219,0.6132282095954262
random_labels,accuracy,0.18794998105342933,0.031543274244004174,0.2956204379562044,0.04560185185185185,0.16405422579961873,0.02112676056338028,0.12431608857808146
random_labels,f1_macro,0.072397202863917,0.006719066633869027,0.07689183028649936,0.020895674472261934,0.07558972506871639,0.0033202403128143694,0.042635623273013006
scanvi,accuracy,0.955854490337249,0.8954640250260688,0.9963503649635036,0.8914351851851852,0.975323024782885,0.24295774647887325,0.8262308061289608
scanvi,f1_macro,0.9313088812919464,0.43578973344574545,0.9782743166940173,0.7732764780020317,0.84922125938866,0.11513236317180525,0.6805005053323677
scanvi_scarches,accuracy,0.9550966275104206,0.8745220716023636,0.9972627737226277,0.8916666666666667,0.9755348443126456,,0.9388165967629447
scanvi_scarches,f1_macro,0.9403745524030239,0.48220887543370183,0.9914611298808305,0.751713791817771,0.8842705189434873,,0.8100057736957629
scgpt_zeroshot,accuracy,,0.6389468196037539,,,,,0.6389468196037539
scgpt_zeroshot,f1_macro,,0.29058644808438305,,,,,0.29058644808438305
scimilarity_knn,accuracy,0.9552860932171277,0.8252519986096628,,0.8752314814814814,,0.18661971830985916,0.7105973229045328
scimilarity_knn,f1_macro,0.9292143391802186,0.4562873714454108,,0.7403289392728575,,0.13923012552882133,0.566265193856827
seurat_transferdata,accuracy,0.9541492989768852,0.8409801876955162,0.9963503649635036,0.8268518518518518,0.9658970557085363,0.3767605633802817,0.8268315537627625
seurat_transferdata,f1_macro,0.9344439187281459,0.41862599987270505,0.9897925274482207,0.6783151968939454,0.7819171035643937,0.16716924225287336,0.6617106647933806
singler,accuracy,0.9147404319818113,0.7903197775460549,0.9927007299270073,0.6386574074074074,0.9617665748782037,0.17253521126760563,0.7451200221680151
singler,f1_macro,0.9027194794285553,0.37525630986205133,0.956702170448394,0.49462191318537674,0.7727703802930367,0.1296130684218832,0.6052805536065495
true_labels,accuracy,1.0,1.0,1.0,1.0,1.0,1.0,1.0
true_labels,f1_macro,1.0,1.0,1.0,1.0,1.0,1.0,1.0
uce,accuracy,0.1816976127320955,0.005387556482446994,0.3813868613138686,0.03587962962962963,0.16606651133234485,0.014084507042253521,0.1307504464221065
uce,f1_macro,0.0725272189842283,0.003738222025892307,0.09698619666988476,0.013610702377072162,0.06938953098181962,0.002002002002002002,0.04304231217348319
xgboost,accuracy,0.9600227358848048,0.8152589502954466,0.9963503649635036,0.8122685185185186,0.9724634611311163,,0.9112728061586779
xgboost,f1_macro,0.9132485074985801,0.2684106265095167,0.9767191151388158,0.625665619895121,0.8297944365351639,,0.7227676611154396
