method,runtime_s,peak_mb,n
accuracy,7.930434782608696,278.31195652173915,6
f1,8.09891304347826,284.6173913043478,6
true_labels,8.166666666666666,342.3333333333333,6
naive_bayes,16.95,8502.5,6
knn,20.950000000000003,9983.333333333334,6
majority_vote,50.23333333333333,9316.666666666666,6
random_labels,51.199999999999996,9166.666666666666,6
logistic_regression,73.66666666666667,10433.333333333334,6
cellmapper_linear,160.45000000000002,17250.0,6
scanvi,646.8333333333334,49183.333333333336,6
mlp,809.25,10116.666666666666,6
scimilarity_knn,814.25,38850.0,4
seurat_transferdata,933.8333333333334,48800.0,6
xgboost,999.2,41440.0,5
cellmapper_scvi,1312.4,25660.0,5
scanvi_scarches,1541.6,39280.0,5
scgpt_zeroshot,3259.0,1.5,1
singler,3913.0,32533.333333333332,6
uce,11824.833333333334,129050.0,6
