process,tag,status,exit,realtime,duration,peak_rss,%cpu
auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process,cellxgene_census\/immune_cell_atlas\/log_cp10k,CACHED,0,964,1366,3665920,446.4
auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process,cellxgene_census\/hypomap\/log_cp10k,CACHED,0,948,1410,3665920,441.0
auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process,cellxgene_census\/dkd\/log_cp10k,CACHED,0,952,1315,3665920,462.4
auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process,cellxgene_census\/gtex_v9\/log_cp10k,CACHED,0,1051,1445,3706880,418.3
auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process,cellxgene_census\/tabula_sapiens\/log_cp10k,CACHED,0,957,1352,3608576,449.4
auto:run_benchmark:run_wf:extract_uns_metadata:processWf:extract_uns_metadata_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k,CACHED,0,1154,44275,1046736896,398.9
auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process,cellxgene_census\/dkd\/log_cp10k.true_labels,CACHED,0,1410,1913,298037248,181.8
auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.true_labels,CACHED,0,980,1412,3604480,434.7
auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process,cellxgene_census\/hypomap\/log_cp10k.true_labels,CACHED,0,920,1345,3596288,463.3
auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process,cellxgene_census\/tabula_sapiens\/log_cp10k.true_labels,CACHED,0,1770,2249,110710784,198.1
auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process,cellxgene_census\/dkd\/log_cp10k.majority_vote,CACHED,0,1879,2405,470802432,169.4
auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.majority_vote,CACHED,0,4860,5258,9607663616,168.0
auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process,cellxgene_census\/hypomap\/log_cp10k.majority_vote,CACHED,0,5911,6343,12842233856,157.0
auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.naive_bayes,CACHED,0,7303,7704,14276333568,195.0
auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process,cellxgene_census\/tabula_sapiens\/log_cp10k.majority_vote,CACHED,0,11467,11969,20461109248,115.3
auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.actinn_jax,CACHED,0,89132,89550,15663513600,284.6
auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.random_labels,CACHED,0,6238,6760,14140035072,154.4
auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.random_labels,CACHED,0,4907,5314,9564946432,168.9
auto:run_benchmark:run_wf:runEachWf:celltypist:processWf:celltypist_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.celltypist,CACHED,0,415403,415801,15055458304,102.6
auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.logistic_regression,CACHED,0,16342,16734,14287056896,1745.5
auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process,cellxgene_census\/gtex_v9\/log_cp10k.majority_vote,CACHED,0,2133,2554,3289026560,257.1
auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.true_labels,CACHED,0,1294,1765,833761280,333.5
auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.majority_vote,CACHED,0,6480,6993,14136143872,151.7
auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.xgboost,CACHED,0,273335,273734,54028189696,2481.1
auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process,cellxgene_census\/gtex_v9\/log_cp10k.true_labels,CACHED,0,1113,1538,557391872,399.6
auto:run_benchmark:run_wf:runEachWf:svm_sgd:processWf:svm_sgd_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.svm_sgd,CACHED,0,233510,233914,15053254656,104.6
auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.mlp,CACHED,0,306748,307133,14252318720,591.6
auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process,cellxgene_census\/gtex_v9\/log_cp10k.random_labels,CACHED,0,3290,3744,3288174592,152.3
auto:run_benchmark:run_wf:runEachWf:scanvi_scarches:processWf:scanvi_scarches_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.scanvi_scarches,CACHED,0,4841384,4841840,46392954880,1511.2
auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process,cellxgene_census\/hypomap\/log_cp10k.random_labels,CACHED,0,6055,6479,12495007744,155.6
auto:run_benchmark:run_wf:runEachWf:linear_anova_pca:processWf:linear_anova_pca_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.linear_anova_pca,CACHED,0,66583,66985,15056220160,2013.9
auto:run_benchmark:run_wf:runEachWf:scanvi:processWf:scanvi_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.scanvi,CACHED,0,1272896,1273323,44054208512,1488.5
auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.knn,CACHED,0,8678,9112,14239260672,346.8
auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.cellmapper_linear,CACHED,0,60215,60628,23507365888,771.6
auto:run_benchmark:run_wf:runEachWf:sctop:processWf:sctop_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.sctop,CACHED,0,16280,16689,15452700672,183.6
auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process,cellxgene_census\/dkd\/log_cp10k.random_labels,CACHED,0,1914,2509,431685632,157.1
auto:run_benchmark:run_wf:runEachWf:random_labels:processWf:random_labels_process,cellxgene_census\/tabula_sapiens\/log_cp10k.random_labels,CACHED,0,9981,10476,20461019136,117.5
auto:run_benchmark:run_wf:runEachWf:cellmapper_scvi:processWf:cellmapper_scvi_process,cellxgene_census\/hypomap\/log_cp10k.cellmapper_scvi,RUNNING,-,-,-,-,-
auto:run_benchmark:run_wf:runEachWf:linear_anova_pca:processWf:linear_anova_pca_process,cellxgene_census\/hypomap\/log_cp10k.linear_anova_pca,COMPLETED,0,80601,81261,14781734912,890.5
auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process,cellxgene_census\/dkd\/log_cp10k.knn,COMPLETED,0,2425,2973,1602428928,367.2
auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process,cellxgene_census\/tabula_sapiens\/log_cp10k.knn,COMPLETED,0,10375,10854,20903858176,171.0
auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process,cellxgene_census\/gtex_v9\/log_cp10k.logistic_regression,COMPLETED,0,24265,24737,3498532864,1367.1
auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process,cellxgene_census\/hypomap\/log_cp10k.logistic_regression,COMPLETED,0,29146,29720,13760708608,664.2
auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process,cellxgene_census\/gtex_v9\/log_cp10k.knn,COMPLETED,0,6655,7251,3433132032,474.8
auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.naive_bayes,COMPLETED,0,7872,8361,10729680896,138.9
auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process,cellxgene_census\/gtex_v9\/log_cp10k.actinn_jax,COMPLETED,0,66383,66936,3917369344,283.0
auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process,cellxgene_census\/tabula_sapiens\/log_cp10k.logistic_regression,COMPLETED,0,115593,116039,21430722560,400.9
auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process,cellxgene_census\/hypomap\/log_cp10k.actinn_jax,COMPLETED,0,123337,123816,16157757440,275.6
auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process,cellxgene_census\/gtex_v9\/log_cp10k.naive_bayes,COMPLETED,0,4520,4985,3422928896,187.9
auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process,cellxgene_census\/hypomap\/log_cp10k.knn,COMPLETED,0,10202,10666,13716979712,168.1
auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.knn,COMPLETED,0,9407,9863,10740539392,253.9
auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process,cellxgene_census\/tabula_sapiens\/log_cp10k.naive_bayes,COMPLETED,0,14021,14473,20119015424,127.0
auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process,cellxgene_census\/dkd\/log_cp10k.naive_bayes,COMPLETED,0,2825,3289,1313685504,242.0
auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.logistic_regression,COMPLETED,0,31223,31699,10737037312,879.9
auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.actinn_jax,COMPLETED,0,101639,102100,11809443840,283.5
auto:run_benchmark:run_wf:runEachWf:f1:processWf:f1_process,cellxgene_census\/mouse_pancreas_atlas\/log_cp10k.true_labels.f1,COMPLETED,0,1985,2461,132923392,297.8
auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process,cellxgene_census\/hypomap\/log_cp10k.naive_bayes,COMPLETED,0,8092,8540,13705388032,150.3
auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process,cellxgene_census\/dkd\/log_cp10k.true_labels.accuracy,COMPLETED,0,2175,2616,362659840,308.8
auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process,cellxgene_census\/dkd\/log_cp10k.mlp,COMPLETED,0,18815,19253,1595543552,551.2
auto:run_benchmark:run_wf:runEachWf:f1:processWf:f1_process,cellxgene_census\/tabula_sapiens\/log_cp10k.true_labels.f1,COMPLETED,0,2257,2744,226553856,271.5
auto:run_benchmark:run_wf:runEachWf:f1:processWf:f1_process,cellxgene_census\/hypomap\/log_cp10k.majority_vote.f1,COMPLETED,0,2209,2664,237461504,271.6
auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process,cellxgene_census\/dkd\/log_cp10k.logistic_regression,COMPLETED,0,8098,8536,1599586304,1186.4
auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.mlp,COMPLETED,0,359838,360308,10734469120,590.2
auto:run_benchmark:run_wf:runEachWf:sctop:processWf:sctop_process,cellxgene_census\/dkd\/log_cp10k.sctop,COMPLETED,0,8854,9305,1836720128,201.5
auto:run_benchmark:run_wf:runEachWf:svm_sgd:processWf:svm_sgd_process,cellxgene_census\/immune_cell_atlas\/log_cp10k.svm_sgd,COMPLETED,0,903701,904194,11154612224,100.7
auto:run_benchmark:run_wf:runEachWf:accuracy:processWf:accuracy_process,cellxgene_census\/hypomap\/log_cp10k.majority_vote.accuracy,COMPLETED,0,1801,2262,118235136,332.8
auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process,cellxgene_census\/tabula_sapiens\/log_cp10k.mlp,COMPLETED,0,800226,800644,21408247808,1182.4
auto:run_benchmark:run_wf:runEachWf:svm_sgd:processWf:svm_sgd_process,cellxgene_census\/dkd\/log_cp10k.svm_sgd,COMPLETED,0,119778,120243,1781035008,104.2
auto:run_benchmark:run_wf:runEachWf:celltypist:processWf:celltypist_process,cellxgene_census\/hypomap\/log_cp10k.celltypist,COMPLETED,0,244255,244812,14780563456,102.0
auto:run_benchmark:run_wf:runEachWf:cellmapper_scvi:processWf:cellmapper_scvi_process,cellxgene_census\/gtex_v9\/log_cp10k.cellmapper_scvi,ABORTED,-,-,-,-,-
auto:run_benchmark:run_wf:runEachWf:scanvi:processWf:scanvi_process,cellxgene_census\/dkd\/log_cp10k.scanvi,COMPLETED,0,594405,595106,6967111680,1387.8
auto:run_benchmark:run_wf:runEachWf:svm_sgd:processWf:svm_sgd_process,cellxgene_census\/hypomap\/log_cp10k.svm_sgd,COMPLETED,0,206771,207403,14777819136,102.4
auto:run_benchmark:run_wf:runEachWf:celltypist:processWf:celltypist_process,cellxgene_census\/gtex_v9\/log_cp10k.celltypist,COMPLETED,0,857069,857763,3716841472,100.6
auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process,cellxgene_census\/dkd\/log_cp10k.xgboost,COMPLETED,0,249070,249723,14420815872,927.6
auto:run_benchmark:run_wf:runEachWf:svm_sgd:processWf:svm_sgd_process,cellxgene_census\/tabula_sapiens\/log_cp10k.svm_sgd,COMPLETED,0,1965824,1966484,21546688512,100.3
auto:run_benchmark:run_wf:runEachWf:celltypist:processWf:celltypist_process,cellxgene_census\/dkd\/log_cp10k.celltypist,COMPLETED,0,161065,161737,1781403648,103.3
auto:run_benchmark:run_wf:runEachWf:scanvi_scarches:processWf:scanvi_scarches_process,cellxgene_census\/tabula_sapiens\/log_cp10k.scanvi_scarches,ABORTED,-,-,-,-,-
auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process,cellxgene_census\/tabula_sapiens\/log_cp10k.cellmapper_linear,ABORTED,-,-,-,-,-
