method,dataset,runtime_s,peak_rss_gb
actinn_jax,gtex_v9,66.0,3.6
actinn_jax,hypomap,123.0,15.0
actinn_jax,immune_cell_atlas,102.0,11.0
actinn_jax,mouse_pancreas_atlas,89.0,14.6
cellmapper_linear,dkd,229.0,1.8
cellmapper_linear,gtex_v9,29.8,5.4
cellmapper_linear,hypomap,64.0,21.2
cellmapper_linear,immune_cell_atlas,52.4,17.4
cellmapper_linear,mouse_pancreas_atlas,60.0,21.9
cellmapper_linear,tabula_sapiens,3866.0,29.2
celltypist,dkd,161.0,1.7
celltypist,gtex_v9,857.0,3.5
celltypist,hypomap,244.0,13.8
celltypist,immune_cell_atlas,2825.0,10.4
celltypist,mouse_pancreas_atlas,415.0,14.0
celltypist,tabula_sapiens,2712.0,20.1
knn,dkd,2.4,1.5
knn,gtex_v9,6.7,3.2
knn,hypomap,10.2,12.8
knn,immune_cell_atlas,9.4,10.0
knn,mouse_pancreas_atlas,8.7,13.3
knn,tabula_sapiens,10.4,19.5
linear_anova_pca,gtex_v9,204.0,3.7
linear_anova_pca,hypomap,81.0,13.8
linear_anova_pca,mouse_pancreas_atlas,67.0,14.0
logistic_regression,dkd,8.1,1.5
logistic_regression,gtex_v9,24.3,3.3
logistic_regression,hypomap,29.1,12.8
logistic_regression,immune_cell_atlas,31.2,10.0
logistic_regression,mouse_pancreas_atlas,16.3,13.3
logistic_regression,tabula_sapiens,116.0,20.0
mlp,dkd,18.8,1.5
mlp,gtex_v9,679.0,3.2
mlp,hypomap,2452.0,12.8
mlp,immune_cell_atlas,360.0,10.0
mlp,mouse_pancreas_atlas,307.0,13.3
mlp,tabula_sapiens,800.0,19.9
naive_bayes,dkd,2.8,1.2
naive_bayes,gtex_v9,4.5,3.2
naive_bayes,hypomap,8.1,12.8
naive_bayes,immune_cell_atlas,7.9,10.0
naive_bayes,mouse_pancreas_atlas,7.3,13.3
naive_bayes,tabula_sapiens,14.0,18.7
sctop,dkd,8.9,1.7
sctop,hypomap,17.3,13.7
sctop,immune_cell_atlas,13.1,10.6
sctop,mouse_pancreas_atlas,16.3,14.4
svm_sgd,dkd,120.0,1.7
svm_sgd,gtex_v9,578.0,3.5
svm_sgd,hypomap,207.0,13.8
svm_sgd,immune_cell_atlas,904.0,10.4
svm_sgd,mouse_pancreas_atlas,234.0,14.0
svm_sgd,tabula_sapiens,1966.0,20.1
xgboost,dkd,249.0,13.4
xgboost,hypomap,297.0,54.7
xgboost,mouse_pancreas_atlas,273.0,50.3
