dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
pbmc,0,actinn-jax,classical,cpu,1981,657,5.165067958063446,0.0935815840493887,955.629568,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922,
pbmc,1,actinn-jax,classical,cpu,1981,657,5.056701291934587,0.0905956249916926,883.490816,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922,
pbmc,2,actinn-jax,classical,cpu,1981,657,5.00973804097157,0.0880402920302003,882.262016,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922,
pbmc,0,svm,classical,cpu,1981,657,1.795912167057395,0.0243240420240908,560.791552,657,0.0,0.9254185692541856,0.9064861259660726,0.8965068281768382,
pbmc,1,svm,classical,cpu,1981,657,1.8444064590148628,0.0217293750029057,560.41472,657,0.0,0.9071537290715372,0.8500645882340413,0.870356772004283,
pbmc,2,svm,classical,cpu,1981,657,1.7884614589856938,0.0222952500917017,559.366144,657,0.0,0.9117199391171994,0.8519060556670002,0.8770595731638464,
pbmc,0,knn,classical,cpu,1981,657,1.589767458033748,0.0401700830552727,559.808512,657,0.0,0.9117199391171994,0.7456569086032869,0.8780073184083902,
pbmc,1,knn,classical,cpu,1981,657,1.5837365000043064,0.0409868330461904,561.020928,657,0.0,0.9056316590563166,0.7251773855124698,0.8695476730333193,
pbmc,2,knn,classical,cpu,1981,657,1.5868600830435753,0.037853333982639,559.857664,657,0.0,0.9056316590563166,0.7352087260944817,0.8694561152185827,
pbmc,0,celltypist,classical,cpu,1981,657,1.977922833058983,0.4895977090345695,612.335616,657,0.0,0.9041095890410958,0.8162061178494517,0.8666170399945862,
pbmc,1,celltypist,classical,cpu,1981,657,2.0875643329927698,0.4712364579318091,612.646912,657,0.0,0.9178082191780822,0.8488913281275979,0.8858909083891635,
pbmc,2,celltypist,classical,cpu,1981,657,2.015618750010617,0.4712061249883845,612.483072,657,0.0,0.9223744292237442,0.851546944015769,0.8924451263746493,
pbmc,0,singler,classical,cpu,1981,657,0.0444670830620452,3.84803658304736,1342.42304,657,0.0,0.9254185692541856,0.883621795389664,0.8982119990514584,
pbmc,1,singler,classical,cpu,1981,657,0.048381624976173,3.8450534999137744,1346.68288,657,0.0,0.9254185692541856,0.883621795389664,0.8982119990514584,
