dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa
pbmc3k_intra,0,actinn-jax,classical,cpu,1981,657,6.1030232919729315,0.10924445802811533,887.914496,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922
pbmc3k_intra,1,actinn-jax,classical,cpu,1981,657,5.457394124998245,0.10029045795090497,881.852416,657,0.0,0.91324200913242,0.7954430862298707,0.8805755487452922
pbmc3k_intra,0,celltypist,classical,cpu,1981,657,2.272756082995329,0.5069369580014609,611.86048,657,0.0,0.9223744292237442,0.8976052926157542,0.8923663533629291
pbmc3k_intra,1,celltypist,classical,cpu,1981,657,2.424219250038732,0.5483638750156388,611.467264,657,0.0,0.9101978691019786,0.8494016843465353,0.8750370733342789
pbmc3k_intra,0,svm,classical,cpu,1981,657,2.188963916967623,0.029284375021234155,561.954816,657,0.0,0.9041095890410958,0.8478848669391712,0.8660038783154255
pbmc3k_intra,1,svm,classical,cpu,1981,657,2.161730916996021,0.027408375055529177,559.710208,657,0.0,0.908675799086758,0.8402967087348125,0.8726719510068025
pbmc3k_intra,0,knn,classical,cpu,1981,657,1.8371910830028355,0.049483666953165084,560.90624,657,0.0,0.908675799086758,0.7401631134052818,0.873748130402616
pbmc3k_intra,1,knn,classical,cpu,1981,657,1.8979238329920918,0.04424995800945908,561.430528,657,0.0,0.9056316590563166,0.7372172207433579,0.8693522780120917
pbmc3k_intra,0,singler,classical,cpu,1981,657,0.09916224994231015,4.429848792031407,1354.104832,657,0.0,0.9254185692541856,0.883621795389664,0.8982119990514584
pbmc3k_intra,1,singler,classical,cpu,1981,657,0.09168308298103511,4.312065916019492,1351.450624,657,0.0,0.9254185692541856,0.883621795389664,0.8982119990514584
pbmc3k_intra,0,scmap-cluster,classical,cpu,1981,657,0.08960045903222635,4.685416874999646,2689.92512,657,0.0,0.8706240487062404,0.778315661297897,0.8296572402917286
pbmc3k_intra,1,scmap-cluster,classical,cpu,1981,657,0.05373054195661098,4.431047375022899,2962.88256,657,0.0,0.8706240487062404,0.778315661297897,0.8296572402917286
pbmc3k_intra,0,scanvi,deep,mps,1981,657,0.011032374983187765,25.140391541004647,1054.359552,657,0.0,0.9254185692541856,0.8557721594066923,0.8985126666078206
pbmc3k_intra,1,scanvi,deep,mps,1981,657,0.007807500020135194,23.32969729200704,1051.77088,657,0.0,0.9117199391171994,0.888859431517331,0.8803537955784972
pbmc3k_intra,0,scarches,deep,mps,1981,657,18.60009208304109,4.570702040975448,915.570688,657,0.0,0.9345509893455098,0.8680812927664923,0.9108117579090597
pbmc3k_intra,1,scarches,deep,mps,1981,657,29.30885287502315,2.54519525001524,1078.050816,657,0.0,0.9375951293759512,0.8918065368247505,0.9154288835934483
