dataset,mode,accuracy,f1_macro,n_genes,note
dkd,baseline,0.9471,0.9362,960,
dkd,E1,0.9456,0.9309,960,ref-std
dkd,E2,0.9678,0.9426,960,pearson-resid
dkd,E3,0.9496,0.9402,960,pearsonHVG+std
dkd,E4,0.9471,0.9334,960,selftrain +4643c@0.9 (base 0.946)
mouse_pancreas_atlas,baseline,0.9653,0.784,960,
mouse_pancreas_atlas,E1,0.9659,0.7694,960,ref-std
mouse_pancreas_atlas,E2,0.9666,0.7845,960,pearson-resid
mouse_pancreas_atlas,E3,0.9701,0.7849,960,pearsonHVG+std
mouse_pancreas_atlas,E4,0.9656,0.7688,960,selftrain +8578c@0.9 (base 0.966)
gtex_v9,baseline,0.8576,0.3309,960,
gtex_v9,E1,0.861,0.3968,960,ref-std
gtex_v9,E2,0.8742,0.373,960,pearson-resid
gtex_v9,E3,0.8622,0.399,960,pearsonHVG+std
gtex_v9,E4,0.8666,0.4043,960,selftrain +5757c@0.9 (base 0.861)
immune_cell_atlas,baseline,0.859,0.7342,960,
immune_cell_atlas,E1,0.8574,0.7595,960,ref-std
immune_cell_atlas,E2,0.8438,0.6793,960,pearson-resid
immune_cell_atlas,E3,0.8606,0.7331,960,pearsonHVG+std
immune_cell_atlas,E4,0.8579,0.7245,960,selftrain +2671c@0.9 (base 0.857)
hypomap,baseline,0.9973,0.9802,960,
hypomap,E1,0.9982,0.995,960,ref-std
hypomap,E2,0.9973,0.9915,960,pearson-resid
hypomap,E3,0.9982,0.995,960,pearsonHVG+std
hypomap,E4,0.9982,0.995,960,selftrain +1087c@0.9 (base 0.998)
tabula_sapiens,baseline,0.3944,0.1709,960,
tabula_sapiens,E1,0.412,0.1506,960,ref-std
tabula_sapiens,E2,0.4049,0.1668,960,pearson-resid
tabula_sapiens,E3,0.3838,0.1683,960,pearsonHVG+std
tabula_sapiens,E4,0.4225,0.1483,960,selftrain +23c@0.9 (base 0.412)
