dataset,n_genes,ref_cv_f1,domain_auc,n_test,n_classes,test_per_class
dkd,1000,0.9142,0.961,5278,13,406.0
dkd,5000,0.9266,0.9907,5278,13,406.0
gtex_v9,1000,0.7549,0.9688,11508,53,217.1
gtex_v9,5000,0.8029,0.9974,11508,53,217.1
immune_cell_atlas,1000,0.7748,0.9934,4320,35,123.4
immune_cell_atlas,5000,0.8264,0.9995,4320,35,123.4
hypomap,1000,0.9338,0.9888,1096,13,84.3
hypomap,5000,0.968,0.9973,1096,13,84.3
mouse_pancreas_atlas,1000,0.8692,0.9452,9442,13,726.3
mouse_pancreas_atlas,5000,0.8755,0.9842,9442,13,726.3
tabula_sapiens,1000,0.7012,0.9905,284,160,1.8
tabula_sapiens,5000,0.6018,0.9843,284,160,1.8
hypomap,1000,0.9338,0.9888,1096,13,84.3
hypomap,5000,0.968,0.9973,1096,13,84.3
tabula_sapiens,1000,0.7012,0.9905,284,160,1.8
tabula_sapiens,5000,0.6018,0.9843,284,160,1.8
