method,n_query,rep,predict_s,cells_per_s,peak_gb,fit_s,n_ref,acc_withheld_study,n_withheld
actinn-jax,50000,1,3.51,14226,13.87,974.5,17753,0.721,5413
actinn-jax,50000,2,3.07,16301,13.87,49.4,17753,0.721,5413
actinn-jax,50000,3,2.71,18419,13.87,50.0,17753,0.721,5413
actinn-jax,125000,1,9.42,13264,17.34,974.5,17753,0.7247,13586
actinn-jax,125000,2,12.12,10310,24.79,49.4,17753,0.7247,13586
actinn-jax,125000,3,7.98,15659,26.46,50.0,17753,0.7247,13586
actinn-jax,250000,1,17.85,14007,20.41,974.5,17753,0.721,26983
actinn-jax,250000,2,18.22,13723,22.52,49.4,17753,0.721,26983
actinn-jax,250000,3,17.02,14687,25.93,50.0,17753,0.721,26983
actinn-jax,524699,1,109.3,4801,21.59,974.5,17753,0.7196,56925
actinn-jax,524699,2,40.99,12801,25.74,49.4,17753,0.7196,56925
actinn-jax,524699,3,41.27,12714,25.81,50.0,17753,0.7196,56925
linear-anova-pca,50000,1,137.45,364,14.95,195.7,17753,0.6924,5413
linear-anova-pca,50000,2,11.41,4383,14.95,15.5,17753,0.6924,5413
linear-anova-pca,50000,3,11.31,4419,14.95,13.1,17753,0.6924,5413
linear-anova-pca,125000,1,27.33,4573,20.15,914.2,17753,0.7043,13586
linear-anova-pca,125000,2,35.13,3558,20.15,19.1,17753,0.7043,13586
linear-anova-pca,125000,3,27.53,4540,20.15,13.4,17753,0.7043,13586
linear-anova-pca,250000,1,534.31,468,22.9,13.2,17753,0.7025,26983
linear-anova-pca,250000,2,59.86,4177,25.07,13.3,17753,0.7025,26983
linear-anova-pca,250000,3,59.92,4172,25.91,13.4,17753,0.7025,26983
linear-anova-pca,524699,1,1701.71,308,24.62,13.6,17753,0.7028,56925
linear-anova-pca,524699,2,126.0,4164,26.89,13.3,17753,0.7028,56925
linear-anova-pca,524699,3,125.91,4167,27.5,13.3,17753,0.7028,56925
