query,rule,n_kept,n_true,precision,recall,exact_cl,ontology
lung,current (mass>=1 or top1>=1@conf>=0.3),460,46,0.09565217391304348,0.9565217391304348,0.1336541683165301,0.5241540007919344
lung,mass_frac>=2% of group,234,46,0.11965811965811966,0.6086956521739131,0.12610033200328957,0.515732082483019
lung,top1_frac>=1% of group @conf>=0.5,130,46,0.2153846153846154,0.6086956521739131,0.12920715177728367,0.5216715908744783
lung,top1_frac>=1% (no conf floor),184,46,0.16304347826086957,0.6521739130434783,0.13322774207304072,0.526468886113734
lung,mass_frac>=2% AND top1_frac>=0.5%,160,46,0.15625,0.5434782608695652,0.12596326642502512,0.5158234595351954
lung,top-90%-coverage per group (elbow),164,46,0.1524390243902439,0.5434782608695652,0.13071487313819255,0.5231488532179952
liver,current (mass>=1 or top1>=1@conf>=0.3),200,12,0.045,0.75,0.2863816025871362,0.46101329500538984
liver,mass_frac>=2% of group,209,12,0.04784688995215311,0.8333333333333334,0.28979518505210206,0.4635285662953647
liver,top1_frac>=1% of group @conf>=0.5,39,12,0.20512820512820512,0.6666666666666666,0.28961552281710384,0.46406755300035935
liver,top1_frac>=1% (no conf floor),96,12,0.09375,0.75,0.28961552281710384,0.46514552641034856
liver,mass_frac>=2% AND top1_frac>=0.5%,92,12,0.09782608695652174,0.75,0.29051383399209485,0.4644268774703557
liver,top-90%-coverage per group (elbow),72,12,0.1111111111111111,0.6666666666666666,0.29141214516708586,0.46604383758533957
