method,fit_s,predict_s,peak_mem_mb,n_ref,n_types
actinn-jax,2.1505787500000224,0.2345859580000251,6800.605184,965,39
actinn-jax,2.7679400830002123,0.2109206249997441,7230.210048,1939,39
actinn-jax,6.0577172089997475,0.1994842920003066,7110.787072,4580,39
actinn-jax,10.867584415999772,0.2078147499996703,7466.975232,8333,39
actinn-jax,16.12101037499997,0.2132090409995726,8895.725568,14836,39
actinn-jax,21.7469391249997,0.2124888750004174,10239.295488,24043,39
celltypist,6.749333916000069,0.471070000000509,6860.013568,965,39
celltypist,12.796245084000477,0.4523239580003064,6208.094208,1939,39
celltypist,22.94909983299931,0.4614967499992417,6598.00064,4580,39
celltypist,39.21538591599983,0.4653632500003368,7007.35488,8333,39
celltypist,71.38856783400024,0.4744203340005697,8809.578496,14836,39
celltypist,108.62329387500084,0.4736427499992715,10112.647168,24043,39
knn,0.0441562079995492,0.1078453330001139,6852.591616,965,39
knn,0.0799471669997728,0.0746940409999297,6162.546688,1939,39
knn,0.1544439999997848,0.1057704580007339,6425.55904,4580,39
knn,0.2821878750000905,0.1161890840003252,6681.755648,8333,39
knn,0.4747548750001442,0.1501708750001853,8148.713472,14836,39
knn,0.7590913330004696,0.1682466669999485,9244.688384,24043,39
linear-anova-pca,0.5719376249999186,0.2925812079993193,8030.830592,1939,39
linear-anova-pca,1.1812128330002452,0.3196757080004317,6881.411072,965,39
linear-anova-pca,1.505651958999806,0.2932875000005879,9660.596224,4580,39
linear-anova-pca,2.979689874999167,0.3035637920002045,10278.305792,8333,39
linear-anova-pca,6.942613584000355,0.3488954590011417,12873.23648,14836,39
linear-anova-pca,11.757089624999937,0.3145373749994178,17263.8208,24043,39
sctop,0.0723731670004781,0.4333139169993956,8203.763712,1939,39
sctop,0.0974091660009435,0.4156206250008836,9739.288576,4580,39
sctop,0.1406577920006384,0.4274828749985317,10487.414784,8333,39
sctop,0.21753491599884,0.4139727920010045,13322.338304,14836,39
sctop,0.3254255829997419,0.4649632910004584,17955.749888,24043,39
sctop,0.7161282079996454,1.0245259169987548,7350.829056,965,39
svm,3.828048667000075,0.0583219999998618,6841.71264,965,39
svm,7.254122583000026,0.0563979580001614,6136.70912,1939,39
svm,14.420827958999324,0.0611665419992277,7267.237888,4580,39
svm,24.53106412499983,0.0643464589993527,7600.570368,8333,39
svm,46.09446945800027,0.071121291000054,8784.297984,14836,39
svm,74.76126441700035,0.0630360410004868,10393.894912,24043,39
