method,fit_s,predict_s,peak_mem_mb,n_types,n_ref
actinn-jax,1.4821354998275638,0.0920054169837385,5577.834496,5,450
svm,0.3786872918717563,0.0145092909224331,5576.982528,5,450
knn,0.0425631250254809,0.0209421250037848,5577.261056,5,450
celltypist,0.9829950409475714,0.6025096250232309,5579.636736,5,450
actinn-jax,2.604104916099459,0.1199999591335654,5794.85696,10,900
svm,1.2233518748544157,0.0207391250878572,5726.224384,10,900
knn,0.0740987088065594,0.0286634580697864,5726.28992,10,900
celltypist,2.4847032909747213,0.6599276249762625,5726.650368,10,900
actinn-jax,4.411768666934222,0.1392716248519718,4508.401664,20,1800
svm,4.690083916997537,0.0247649170923978,4227.301376,20,1800
knn,0.1108467078302055,0.0489734171424061,4229.234688,20,1800
celltypist,7.726780500030145,0.6545184580609202,4236.427264,20,1800
actinn-jax,8.137192291906103,0.1980305418837815,4032.823296,40,3600
svm,20.097288666991517,0.0362162080127745,4149.854208,40,3600
knn,0.2608961670193821,0.1030822917819023,3427.139584,40,3600
celltypist,26.477609707973897,0.697628750000149,3527.376896,40,3600
actinn-jax,17.442626832984388,0.2955721660982817,5572.804608,86,7692
svm,70.16366841597483,0.0764903749804943,5724.504064,86,7692
knn,0.3771193751599639,0.0948541660327464,4104.68352,86,7692
celltypist,86.3044154169038,0.7566958330571651,4153.851904,86,7692
linear-anova-pca,0.3280048749875277,0.0257793329656124,2666.41408,5,450
sctop,0.0283199588302522,0.0555678340606391,2671.378432,5,450
linear-anova-pca,0.4455840000882745,0.0359199170488864,2880.290816,10,900
sctop,0.0474172499962151,0.097567707998678,2882.7648,10,900
linear-anova-pca,0.7648809580132365,0.0554160000756382,3406.184448,20,1800
sctop,0.0911241669673472,0.1450248330365866,3431.071744,20,1800
linear-anova-pca,1.6962266669142991,0.1092337081208825,4731.437056,40,3600
sctop,0.1933847079053521,0.2915260000154376,4615.880704,40,3600
linear-anova-pca,4.289061041083187,0.3074877089820802,7600.898048,86,7692
sctop,0.3979536248371005,0.609595209127292,6976.995328,86,7692
